home_team,away_team,Attendance,Date
Netherlands,West Germany,78200,7/7/1974
Brazil,Poland,77100,7/6/1974
Poland,West Germany,62000,7/3/1974
Netherlands,Brazil,53700,7/3/1974
Argentina,Germany DR,54254,7/3/1974
Sweden,Yugoslavia,41300,7/3/1974
Poland,Yugoslavia,58000,6/30/1974
Argentina,Brazil,39400,6/30/1974
Germany DR,Netherlands,68348,6/30/1974
West Germany,Sweden,67800,6/30/1974
Yugoslavia,West Germany,67385,6/26/1974
Brazil,Germany DR,59863,6/26/1974
Sweden,Poland,44955,6/26/1974
Netherlands,Argentina,56548,6/26/1974
Bulgaria,Netherlands,53300,6/23/1974
Poland,Italy,70100,6/23/1974
Sweden,Uruguay,28300,6/23/1974
Argentina,Haiti,25900,6/23/1974
Scotland,Yugoslavia,56000,6/22/1974
Australia,Chile,17400,6/22/1974
Zaire,Brazil,36200,6/22/1974
Germany DR,West Germany,60200,6/22/1974
Haiti,Poland,25300,6/19/1974
Bulgaria,Uruguay,13400,6/19/1974
Netherlands,Sweden,53700,6/19/1974
Argentina,Italy,70100,6/19/1974
Australia,West Germany,53300,6/18/1974
Yugoslavia,Zaire,31700,6/18/1974
Chile,Germany DR,28300,6/18/1974
Scotland,Brazil,62000,6/18/1974
Uruguay,Netherlands,55100,6/15/1974
Sweden,Bulgaria,23800,6/15/1974
Italy,Haiti,53000,6/15/1974
Poland,Argentina,32700,6/15/1974
West Germany,Chile,81100,6/14/1974
Germany DR,Australia,17000,6/14/1974
Zaire,Scotland,27000,6/14/1974
Brazil,Yugoslavia,62000,6/13/1974
Brazil,Italy,107412,6/21/1970
West Germany,Uruguay,104403,6/20/1970
Italy,West Germany,102444,6/17/1970
Brazil,Uruguay,51261,6/17/1970
Brazil,Peru,54233,6/14/1970
Italy,Mexico,26851,6/14/1970
Uruguay,Soviet Union,26085,6/14/1970
West Germany,England,23357,6/14/1970
Mexico,Belgium,108192,6/11/1970
Italy,Israel,9890,6/11/1970
Bulgaria,Morocco,12299,6/11/1970
England,Czechoslovakia,49292,6/11/1970
West Germany,Peru,17875,6/10/1970
Brazil,Romania,50804,6/10/1970
Sweden,Uruguay,18163,6/10/1970
Soviet Union,El Salvador,89979,6/10/1970
Mexico,El Salvador,103058,6/7/1970
Brazil,England,66843,6/7/1970
West Germany,Bulgaria,12710,6/7/1970
Sweden,Israel,9624,6/7/1970
Romania,Czechoslovakia,56818,6/6/1970
Uruguay,Italy,29968,6/6/1970
Soviet Union,Belgium,95261,6/6/1970
Peru,Morocco,13537,6/6/1970
Belgium,El Salvador,92205,6/3/1970
Brazil,Czechoslovakia,52897,6/3/1970
Italy,Sweden,13433,6/3/1970
West Germany,Morocco,12942,6/3/1970
England,Romania,50560,6/2/1970
Peru,Bulgaria,13765,6/2/1970
Uruguay,Israel,20654,6/2/1970
Mexico,Soviet Union,107160,5/31/1970
England,West Germany,96924,7/30/1966
Portugal,Soviet Union,87696,7/28/1966
England,Portugal,94493,7/26/1966
West Germany,Soviet Union,38273,7/25/1966
Portugal,Korea DPR,40248,7/23/1966
England,Argentina,90584,7/23/1966
Soviet Union,Hungary,26844,7/23/1966
West Germany,Uruguay,40007,7/23/1966
England,France,98270,7/20/1966
Hungary,Bulgaria,24129,7/20/1966
West Germany,Spain,42187,7/20/1966
Soviet Union,Chile,16027,7/20/1966
Uruguay,Mexico,61112,7/19/1966
Argentina,Switzerland,32127,7/19/1966
Portugal,Brazil,58479,7/19/1966
Korea DPR,Italy,17829,7/19/1966
West Germany,Argentina,46587,7/16/1966
Soviet Union,Italy,27793,7/16/1966
Portugal,Bulgaria,25438,7/16/1966
England,Mexico,92570,7/16/1966
Spain,Switzerland,32028,7/15/1966
Uruguay,France,45662,7/15/1966
Hungary,Brazil,51387,7/15/1966
Korea DPR,Chile,13792,7/15/1966
Argentina,Spain,42738,7/13/1966
France,Mexico,69237,7/13/1966
Italy,Chile,27199,7/13/1966
Portugal,Hungary,29886,7/13/1966
Brazil,Bulgaria,47308,7/12/1966
Soviet Union,Korea DPR,23006,7/12/1966
West Germany,Switzerland,36127,7/12/1966
England,Uruguay,87148,7/11/1966
Brazil,Czechoslovakia,68679,6/17/1962
Chile,Yugoslavia,66697,6/16/1962
Brazil,Chile,76594,6/13/1962
Czechoslovakia,Yugoslavia,5890,6/13/1962
Chile,Soviet Union,17268,6/10/1962
Brazil,England,17736,6/10/1962
Czechoslovakia,Hungary,11690,6/10/1962
Yugoslavia,West Germany,63324,6/10/1962
England,Bulgaria,5700,6/7/1962
Mexico,Czechoslovakia,10648,6/7/1962
Italy,Switzerland,59828,6/7/1962
Yugoslavia,Colombia,7167,6/7/1962
West Germany,Chile,67224,6/6/1962
Soviet Union,Uruguay,9973,6/6/1962
Hungary,Argentina,7945,6/6/1962
Brazil,Spain,18715,6/6/1962
Spain,Mexico,11875,6/3/1962
Soviet Union,Colombia,8040,6/3/1962
Hungary,Bulgaria,7442,6/3/1962
West Germany,Switzerland,64922,6/3/1962
Chile,Italy,66057,6/2/1962
Brazil,Czechoslovakia,14903,6/2/1962
England,Argentina,9794,6/2/1962
Yugoslavia,Uruguay,8829,6/2/1962
West Germany,Italy,65440,5/31/1962
Hungary,England,7938,5/31/1962
Czechoslovakia,Spain,12700,5/31/1962
Soviet Union,Yugoslavia,9622,5/31/1962
Chile,Switzerland,65006,5/30/1962
Uruguay,Colombia,7908,5/30/1962
Brazil,Mexico,10484,5/30/1962
Argentina,Bulgaria,7134,5/30/1962
Brazil,Sweden,49737,6/29/1958
France,West Germany,32483,6/28/1958
Sweden,West Germany,49471,6/24/1958
Brazil,France,27100,6/24/1958
France,Northern Ireland,11800,6/19/1958
West Germany,Yugoslavia,20055,6/19/1958
Brazil,Wales,25923,6/19/1958
Sweden,Soviet Union,31900,6/19/1958
Northern Ireland,Czechoslovakia,6196,6/17/1958
Wales,Hungary,2823,6/17/1958
Soviet Union,England,23182,6/17/1958
Sweden,Wales,30287,6/15/1958
Paraguay,Yugoslavia,13103,6/15/1958
West Germany,Northern Ireland,21990,6/15/1958
Czechoslovakia,Argentina,16418,6/15/1958
England,Austria,15872,6/15/1958
Brazil,Soviet Union,50928,6/15/1958
Hungary,Mexico,13300,6/15/1958
France,Scotland,13554,6/15/1958
Sweden,Hungary,38850,6/12/1958
Soviet Union,Austria,21239,6/11/1958
West Germany,Czechoslovakia,25000,6/11/1958
Argentina,Northern Ireland,14174,6/11/1958
Yugoslavia,France,12217,6/11/1958
Paraguay,Scotland,11665,6/11/1958
Brazil,England,40895,6/11/1958
Mexico,Wales,15150,6/11/1958
Sweden,Mexico,34107,6/8/1958
Northern Ireland,Czechoslovakia,10647,6/8/1958
Hungary,Wales,15343,6/8/1958
Yugoslavia,Scotland,9591,6/8/1958
Brazil,Austria,17788,6/8/1958
Soviet Union,England,49348,6/8/1958
France,Paraguay,16518,6/8/1958
Argentina,West Germany,31156,6/8/1958
Germany,Hungary,62500,7/4/1954
Austria,Uruguay,32000,7/3/1954
Hungary,Uruguay,45000,6/30/1954
Germany,Austria,58000,6/30/1954
Germany,Yugoslavia,17000,6/27/1954
Hungary,Brazil,40000,6/27/1954
Uruguay,England,28000,6/26/1954
Switzerland,Austria,35000,6/26/1954
Germany,Türkiye,17000,6/23/1954
Switzerland,Italy,30000,6/23/1954
Hungary,Germany,56000,6/20/1954
Türkiye,Korea Republic,4000,6/20/1954
Italy,Belgium,24000,6/20/1954
Switzerland,England,43500,6/20/1954
Uruguay,Scotland,34000,6/19/1954
Brazil,Yugoslavia,24637,6/19/1954
Austria,Czechoslovakia,26000,6/19/1954
France,Mexico,19000,6/19/1954
Switzerland,Italy,43000,6/17/1954
Hungary,Korea Republic,13000,6/17/1954
Germany,Türkiye,28000,6/17/1954
England,Belgium,14000,6/17/1954
Uruguay,Czechoslovakia,20500,6/16/1954
Yugoslavia,France,16000,6/16/1954
Brazil,Mexico,13470,6/16/1954
Austria,Scotland,25000,6/16/1954
Sweden,Spain,11227,7/16/1950
Uruguay,Brazil,173850,7/16/1950
Brazil,Spain,152772,7/13/1950
Uruguay,Sweden,7987,7/13/1950
Brazil,Sweden,138886,7/9/1950
Uruguay,Spain,44802,7/9/1950
Chile,United States,8501,7/2/1950
Italy,Paraguay,25811,7/2/1950
Uruguay,Bolivia,5284,7/2/1950
Spain,England,74462,7/2/1950
Switzerland,Mexico,3580,7/2/1950
Brazil,Yugoslavia,142429,7/1/1950
Spain,Chile,19790,6/29/1950
United States,England,10151,6/29/1950
Sweden,Paraguay,7903,6/29/1950
Brazil,Switzerland,42032,6/28/1950
Yugoslavia,Mexico,11078,6/28/1950
Sweden,Italy,36502,6/25/1950
England,Chile,29703,6/25/1950
Spain,United States,9511,6/25/1950
Yugoslavia,Switzerland,7336,6/25/1950
Brazil,Mexico,81649,6/24/1950
Brazil,Sweden,12000,6/19/1938
Italy,Hungary,45000,6/19/1938
Hungary,Sweden,20000,6/16/1938
Italy,Brazil,33000,6/16/1938
Brazil,Czechoslovakia,18141,6/14/1938
Sweden,Cuba,7000,6/12/1938
Brazil,Czechoslovakia,22021,6/12/1938
Hungary,Switzerland,15000,6/12/1938
Italy,France,58455,6/12/1938
Switzerland,Germany,20025,6/9/1938
Cuba,Romania,8000,6/9/1938
Italy,Norway,19000,6/5/1938
Cuba,Romania,7000,6/5/1938
Hungary,Dutch East Indies,9000,6/5/1938
France,Belgium,30454,6/5/1938
Brazil,Poland,13452,6/5/1938
Czechoslovakia,Netherlands,11000,6/5/1938
Switzerland,Germany,27152,6/4/1938
Italy,Czechoslovakia,55000,6/10/1934
Germany,Austria,7000,6/7/1934
Czechoslovakia,Germany,15000,6/3/1934
Italy,Austria,35000,6/3/1934
Italy,Spain,43000,6/1/1934
Austria,Hungary,23000,5/31/1934
Czechoslovakia,Switzerland,12000,5/31/1934
Italy,Spain,35000,5/31/1934
Germany,Sweden,3000,5/31/1934
Czechoslovakia,Romania,9000,5/27/1934
Hungary,Egypt,9000,5/27/1934
Austria,France,16000,5/27/1934
Switzerland,Netherlands,33000,5/27/1934
Sweden,Argentina,14000,5/27/1934
Spain,Brazil,21000,5/27/1934
Germany,Belgium,8000,5/27/1934
Italy,United States,25000,5/27/1934
Uruguay,Argentina,68346,7/30/1930
Uruguay,Yugoslavia,79867,7/27/1930
Argentina,United States,72886,7/26/1930
Argentina,Chile,41459,7/22/1930
Uruguay,Romania,70022,7/21/1930
Brazil,Bolivia,25466,7/20/1930
Paraguay,Belgium,12000,7/20/1930
Chile,France,2000,7/19/1930
Argentina,Mexico,42100,7/19/1930
Uruguay,Peru,57735,7/18/1930
Yugoslavia,Bolivia,18306,7/17/1930
United States,Paraguay,18306,7/17/1930
Chile,Mexico,9249,7/16/1930
Argentina,France,23409,7/15/1930
Yugoslavia,Brazil,24059,7/14/1930
Romania,Peru,2549,7/14/1930
United States,Belgium,18346,7/13/1930
France,Mexico,4444,7/13/1930
